iter	RMSE
0	75642.65399
1	72830.75036
2	70215.79358
3	67654.06375
4	65088.65693
5	62773.41782
6	60603.7859
7	58509.25374
8	56556.46994
9	54867.15177
10	53215.45494
11	51622.23476
12	50186.76475
13	48807.66611
14	47561.07136
15	46246.50055
16	45056.20791
17	44012.87246
18	43082.20829
19	42154.6455
20	41261.62008
21	40436.33001
22	39655.90059
23	38982.55545
24	38295.66612
25	37696.15102
26	37157.13187
27	36646.69413
28	36135.87877
29	35665.7297
30	35271.19167
31	34858.13413
32	34486.48112
33	34144.9641
34	33815.22756
35	33544.02662
36	33273.81687
37	33011.00685
38	32765.32214
39	32541.42689
40	32320.79101
41	32152.98092
42	31998.21552
43	31834.57093
44	31687.92197
45	31552.27214
46	31418.33631
47	31294.98689
48	31173.05441
49	31075.05448
50	30979.96467
51	30855.58451
52	30773.88844
53	30701.32036
54	30621.20107
55	30546.78423
56	30468.84178
57	30409.76601
58	30346.28361
59	30284.14313
60	30213.05675
61	30109.90282
62	30051.68752
63	30004.4176
64	29971.02017
65	29907.94864
66	29867.01467
67	29797.17655
68	29760.53058
69	29726.81474
70	29672.96466
71	29615.46931
72	29593.94516
73	29503.93599
74	29468.95267
75	29415.62909
76	29398.23899
77	29354.16716
78	29328.57289
79	29285.28294
80	29244.53279
81	29202.97239
82	29182.59996
83	29143.46944
84	29107.11192
85	29081.9749
86	29032.32415
87	29002.32687
88	28967.74298
89	28935.11264
90	28904.18464
91	28881.17923
92	28859.1689
93	28791.60374
94	28753.67415
95	28706.84455
96	28693.70909
97	28662.0126
98	28645.95625
99	28614.8437
100	28577.61812
101	28558.8982
102	28527.16105
103	28503.1618
104	28490.18173
105	28472.48595
106	28434.52423
107	28407.35995
108	28389.71305
109	28379.7878
110	28319.53046
111	28286.13029
112	28272.90163
113	28243.27709
114	28229.56572
115	28196.3581
116	28168.54814
117	28140.62495
118	28109.58833
119	28087.0805
120	28066.6425
121	28035.80534
122	28005.37034
123	27997.74469
124	27969.65068
125	27916.26264
126	27872.25122
127	27832.67055
128	27802.2315
129	27751.65066
130	27715.11614
131	27669.88535
132	27662.73839
133	27635.48347
134	27610.95606
135	27577.79989
136	27555.19926
137	27540.24995
138	27512.53917
139	27472.97823
140	27436.89044
141	27407.71318
142	27370.1307
143	27335.81356
144	27314.03136
145	27281.32133
146	27274.17793
147	27241.68331
148	27214.47644
149	27185.72548
