iter	Passed	Remaining
0	1	224
1	2	184
2	4	226
3	5	197
4	6	179
5	6	167
6	7	157
7	8	149
8	9	143
9	9	138
10	10	137
11	11	137
12	13	146
13	14	145
14	15	143
15	16	139
16	17	136
17	18	132
18	19	131
19	19	128
20	20	126
21	21	123
22	21	121
23	22	119
24	23	117
25	24	115
26	24	113
27	25	112
28	26	110
29	27	111
30	28	111
31	29	109
32	30	108
33	31	107
34	32	105
35	32	104
36	33	102
37	34	101
38	35	100
39	35	98
40	36	97
41	37	96
42	38	95
43	38	93
44	40	93
45	40	92
46	41	91
47	43	92
48	44	92
49	45	91
50	47	91
51	47	90
52	48	89
53	49	87
54	50	86
55	50	85
56	51	84
57	52	83
58	53	82
59	53	80
60	54	79
61	55	78
62	56	77
63	57	76
64	58	76
65	59	75
66	60	74
67	61	73
68	62	72
69	63	72
70	63	70
71	64	69
72	65	68
73	66	67
74	66	66
75	67	65
76	68	64
77	68	63
78	69	62
79	70	61
80	71	60
81	71	59
82	73	59
83	74	58
84	74	57
85	75	56
86	77	55
87	77	54
88	78	53
89	79	52
90	80	51
91	80	50
92	81	49
93	82	49
94	83	48
95	83	47
96	84	46
97	85	45
98	86	44
99	87	43
100	88	42
101	90	42
102	91	41
103	91	40
104	92	39
105	93	38
106	94	37
107	94	36
108	95	35
109	96	35
110	96	34
111	97	33
112	98	32
113	99	31
114	100	30
115	100	29
116	101	28
117	102	27
118	104	27
119	104	26
120	105	25
121	106	24
122	107	23
123	107	22
124	108	21
125	109	20
126	110	19
127	110	19
128	111	18
129	112	17
130	113	16
131	113	15
132	114	14
133	115	13
134	115	12
135	116	11
136	118	11
137	119	10
138	120	9
139	121	8
140	121	7
141	122	6
142	123	6
143	124	5
144	124	4
145	125	3
146	126	2
147	126	1
148	127	0
149	128	0
