title,id,price,Khu Vực,Loại BDS,Diện tích đất,Diện tích sử dụng,Phòng khách,Phòng ngủ,Phòng tắm,Ban công,Hướng,Nội thất
"BÁN CĂN HỘ VIP, VIEW TRIỆU ĐÔ TẠI CIPUTRA, TÂY HỒ, HÀ NỘI",753,32 tỷ,Ciputra Hà Nội,Bán Căn Hộ Chung Cư Ciputra,267,267,Hiện Đại,3,3,Yes,Đông Nam,Fully Furnished
Căn hộ 145m tòa P1 Ciputra view nội khu cần bán,752,"9,5 tỷ",Ciputra Hà Nội,Bán Căn Hộ Chung Cư Ciputra,145,145,Hiện Đại,,,,,
"Bán căn góc 267m, tòa L1 Ciputra, view trực diện sân Golf, tầng cao",751,25 tỷ,Ciputra Hà Nội,Bán Căn Hộ Chung Cư Ciputra,267,267,,,,,,
"Bán căn hộ VIP 267m, tầng cao tòa L2 KĐT CIputra, Tây Hồ",749,"26,5 tỷ",Ciputra Hà Nội,Bán Căn Hộ Chung Cư Ciputra,267,267,,4,,,Đông Bắc,
"Bán căn hộ 267m, VIP view sân Golf tòa L1, L2 Ciputra",748,"27,5 tỷ",Ciputra Hà Nội,Bán Căn Hộ Chung Cư Ciputra,267,255.9,sang trọng,4,3,,Đông Nam,
Bán căn góc 182m trục đẹp nhất view sân Golf tòa P1 Ciputra,747,16 tỷ,Ciputra Hà Nội,Bán Căn Hộ Chung Cư Ciputra,182,182,sang trọng,4,3,Yes,Đông Bắc,
"Chính chủ bán căn hộ 182m, tòa P1, P2 Ciputra giá tốt nhất thị trường",746,15 tỷ,Ciputra Hà Nội,Bán Căn Hộ Chung Cư Ciputra,182,182,,,,,,Đã có Nội Thất
"Chính chủ cần tiền bán gấp căn hộ 123m, tòa E4 Ciputra",745,"7,8 tỷ",Ciputra Hà Nội,Bán Căn Hộ Chung Cư Ciputra,123,123,,,,Có,Tây Bắc,"đủ đồ, đồ đẹp"
Bán căn hộ chung cư cao cấp 128m tòa vườn đào 689 Lạc Long Quân,744,"8,15 tỷ",Quận Tây Hồ,Bán căn hộ quận Tây Hồ,128,128,rộng,3,2,rộng,,có nội thất
Bán căn hộ  cấp cấp 2 phòng ngủ tại tòa Watermark 395 Lạc Long Quân,743,"7,5 tỷ",Quận Tây Hồ,Bán căn hộ quận Tây Hồ,75,75,rộng,2,2,,,có nội thất
Bán căn hộ Penhouse Duplex 583m2 tại trung tâm Đống Đa giá cực rẻ,739,81 triệu,Quận Tây Hồ,Bán căn hộ quận Tây Hồ,583,583,rộng,,,,,nội thất xịn
Bán căn hộ Penhouse Duplex 235m2 tại trung tâm Đống Đa giá cực rẻ,738,81 triệu,Quận Tây Hồ,Bán căn hộ quận Đống Đa,235,235,rộng,,,,,nội thất xịn
Căn hộ 3 phòng ngủ tầng cao view sông hồng tại D’. Le Roi Soleil 59 Xuân Diệu,736,"11,99 tỷ",Quận Tây Hồ,Bán căn hộ quận Tây Hồ,111,111,rộng,3,2,rộng,,nội thất xịn
BÁN CĂN HỘ CAO CẤP TẠI TÒA E4 CIPUTRA – KHÔNG GIAN SỐNG LÝ TƯỞNG,735,12 tỷ,Ciputra Hà Nội,Bán Căn Hộ Chung Cư Ciputra,153,153,sang trọng,4,2,,,
"Bán căn hộ siêu đẹp 145m², 3PN, 2WC tại tòa P1 Ciputra Hà Nội",732,"10,5 tỷ",Ciputra Hà Nội,Bán Căn Hộ Chung Cư Ciputra,,145,60,3,2,yes,Tây Bắc,Đầy đủ nội thất
